Target,Model,Subject,Accuracy,F1,Precision,Recall
Arousal,LogisticRegression,12,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,SVM,12,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,13,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,LogisticRegression,13,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,SVM,13,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,RandomForest,14,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,LogisticRegression,14,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,SVM,14,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,RandomForest,15,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,LogisticRegression,15,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,SVM,15,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,RandomForest,16,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,LogisticRegression,16,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,SVM,16,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,RandomForest,17,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,LogisticRegression,17,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,SVM,17,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,RandomForest,18,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
Arousal,LogisticRegression,18,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
Arousal,SVM,18,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
Arousal,RandomForest,19,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353
Arousal,LogisticRegression,19,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353
Arousal,SVM,19,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,RandomForest,20,0.4444444444444444,0.5833333333333334,0.7,0.5
Arousal,LogisticRegression,20,0.8333333333333334,0.9032258064516129,0.8235294117647058,1.0
Arousal,SVM,20,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,21,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,LogisticRegression,21,0.6111111111111112,0.7407407407407407,0.7692307692307693,0.7142857142857143
Arousal,SVM,21,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,22,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,LogisticRegression,22,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,SVM,22,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,RandomForest,23,0.5,0.6666666666666666,0.5,1.0
Arousal,LogisticRegression,23,0.5,0.6666666666666666,0.5,1.0
Arousal,SVM,23,0.5,0.6666666666666666,0.5,1.0
Dominance,RandomForest,1,0.5,0.6666666666666666,0.6,0.75
Dominance,LogisticRegression,1,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,SVM,1,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,RandomForest,2,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,LogisticRegression,2,0.6111111111111112,0.6956521739130435,0.8,0.6153846153846154
Dominance,SVM,2,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,RandomForest,3,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,LogisticRegression,3,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,SVM,3,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,RandomForest,4,0.5,0.6666666666666666,0.5,1.0
Dominance,LogisticRegression,4,0.6111111111111112,0.6956521739130435,0.5714285714285714,0.8888888888888888
Dominance,SVM,4,0.5,0.6666666666666666,0.5,1.0
Dominance,RandomForest,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,LogisticRegression,5,0.7777777777777778,0.8666666666666667,0.7647058823529411,1.0
Dominance,SVM,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,RandomForest,7,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,LogisticRegression,7,0.4444444444444444,0.6153846153846154,0.5333333333333333,0.7272727272727273
Dominance,SVM,7,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,RandomForest,8,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,8,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Dominance,SVM,8,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Dominance,LogisticRegression,9,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353
Dominance,SVM,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Dominance,RandomForest,10,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,10,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Dominance,SVM,10,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,11,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,11,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,SVM,11,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,12,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,12,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,SVM,12,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,13,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,13,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,SVM,13,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,14,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,LogisticRegression,14,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,SVM,14,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,RandomForest,16,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,LogisticRegression,16,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,SVM,16,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,RandomForest,17,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,17,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,SVM,17,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,18,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,18,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,SVM,18,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,19,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,19,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,SVM,19,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,20,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,20,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Dominance,SVM,20,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,21,0.6666666666666666,0.8,0.9230769230769231,0.7058823529411765
Dominance,LogisticRegression,21,0.6666666666666666,0.8,0.9230769230769231,0.7058823529411765
Dominance,SVM,21,0.7222222222222222,0.8387096774193549,0.9285714285714286,0.7647058823529411
Dominance,RandomForest,22,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,22,0.7777777777777778,0.875,0.875,0.875
Dominance,SVM,22,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,23,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Dominance,LogisticRegression,23,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Dominance,SVM,23,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
